,Ph? l?c tính toán thu? công,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TÍNH TOÁN THU? L?C TRÀN T?N SU?T L? C?C H?N 0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I TÍNH TOÁN ???NG M?T N??C TRÊN NG??NG TRÀN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1) Tài li?u tính toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Giai ?o?n,P(%),Qmax??n (m3/s),Btràn (m),Cao trình ng??ng (m),MNDBT (m),Hmax(m),Qmaxx? (m3/s),M?c n??c h? l?n nh?t (m),H ??u d?c (m),,,,,,,,,,,,,,,,,,,,,,,
,1,G?1,1,145.98,25,248,248,0.90,33.28,248.90,2.00,,,QTK,QxaTK,Ho,H??u doc,QKT,Qxakt,Ho,H??u doc,,,,,,,,,,,,,
,2,,0.2,188.19,25,248,248,1.08,43.22,249.08,2.00,,0.2,6.7,,,,8.6,,,,,,,,,,,,,,,,
,3,G?2,1,145.98,25,258,258,0.60,17.86,258.60,2.02,,0.5,16.6,,,,21.6,,,,,,,,,,,,,,,,
,4,,0.2,188.19,25,258,258,0.71,23.31,258.71,2.42,,0.8,26.6,,,,34.6,,,,,,,,,,,,,,,,
,5,G?3,,,,,,,,,,,1,33.3,,,,43.2,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tinh H ban ??u,,,,,,,,,,,,,,,,,,,,,
,,,,,,,H =,2,m,,,,,, m , b ,h,Q,Qxa,dentaQ,,,,,,,,,,,,,,
,Tr??ng h?p tính toán,,,,2,,Q =,43.22,m,,,,,,0.3500,25, 0.90 ,33.28,33.28,0.00,,,,,,,,,,,,,,
,,,,,,,Hdd =,2.00,m,,,,,,0.3500,25, 1.08 ,43.22,43.22,0.00,,,,,,,,,,,,,,
,,,,,,,Btr =,25,m,,,,,,0.3500,4, 2.02 ,17.86,17.86,0.00,,,,,,,,,,,,,,
,a) Tính toán ?? sâu t?i m?t c?t co h?p hc,,,,,,,,,,,,,,0.3500,4, 2.42 ,23.31,23.31,0.00,,,,,,,,,,,,,,
,,Theo công th?c:,,,E0 = H + ,,aV2,?,H,,=,2,m,,,,,,,,,,,,,,,,,,,,,
,,B? qua l?u t?c t?i g?n,,,,,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,F(tc) = ,,q,=,1.729,,=,0.679,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,j*E03/2,,0.95*H3/2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,=,0.680,-0.001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tính th? d?n tc ta có:,,,,tc,=,0.975,=>,hc = E0*tc =,,1.95,m,,,,,,,,,,,,,,,,,,,,,
,b) Tính toán ?? sâu phân gi?i hk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tính theo công th?c c?a kênh có m?t c?t ch? nh?t:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V?i a = 1,,,,,,,0.67,m,,,,,5.85,,,,,,,,,,,,,,,,,,
,c) Tính toán chi?u dài Lc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lc = (1.5 - 2.0)*(H - hc) = 2.0*(H - hc) =,,,,,,,,0.10,m,,,,0.069444444,,,,,,,,,,,,,,,,,,,
,,Chi?u dài ?o?n n??c dâng trên ng??ng tràn: L = d - Lc =,,,,,,,,1.90,m,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,II TÍNH TOÁN ???NG M?T N??C TRÊN ?O?N THU H?P ( DOAN 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1) Tài li?u tính toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- L?u l??ng x? l?n nh?t:,,,,Qmax =,43.22,m3/s,- Chi?u r?ng ?o?n ??u:,,,,B1 =,6.00,m,,,,,,,,,,,,,,,,,,,,
,- ?? d?c ?o?n thu h?p:,,,,i =,0.020,,- Chi?u r?ng ?o?n cu?i:,,,,B2 =,2.50,m,B2 =,-3.72,m,,,,,,,,,,,,,,,,,
,- H? s? nhám:,,,,n =,0.017,,- Chi?u dài ?o?n thu h?p:,,,,Lth =,25.00,m,Lth =,9.00,m,,,,,,,,,,,,,,,,,
,- H? s? mái:,,,,m=,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"?? không phát sinh các hi?n t??ng thu? l?c b?t l?i, theo kinh nghi?m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,góc thu h?p nên l?y b?ng q = 220. ,,,,,tg(q/2) = (B1 - B2)/2Lth,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2) Tính toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?? xác ??nh c?t n??c cu?i ?o?n thu h?p dùng ph??ng trình:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DL,=,DE,=,Ec - E?,(*),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,i - Jtb ,,i - Jtb ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jtb,=,Vtb2,E0 = h + ,,aV2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ctb2Rtb,,,2g,,,,,,,,,,,,,,,,,,,,,,,,
,* Tính toán cho m?t c?t ??u:,,,,,,,* Tính toán cho m?t c?t cu?i ?o?n thu h?p:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hcn = ,,,,2.00,m,,hcth = ,,,,2.15,m,,,,,,,,,,,,,,,,,,,,
,,B1 =,,,,6.00,m,,B2 =,,,,2.50,m,,?o?n thu h?p,,,,,,,,,,,,,,,,,,
,,w = (b + mh)h =,,,,18.00,m2,,w = (b + mh)h =,,,,12.29,m2,,,h,w,c,R,V,aV2/2g,E0,y,C,i,Jtb,DE,DL,SDL,,Vtb,Ctb,Rtb
,,c = b + 2h(1 + m2)0.5 =,,,,12.50,m,,c = b + 2h(1 + m2)0.5 =,,,,9.48,m,,,(m),(m2),(m),(m),(m/s),(m),(m),,,,,(m),(m),(m),,(m/s),,
,,R = w/c =,,,,1.44,m,,R = w/c =,,,,1.30,m,,??u ,2.00,18.00,12.50,1.44,2.40,0.29,2.294,0.169,62.55,,,,,0.00,,,,
,,y = 2.5n1/2 - 0.13 - 0.75(n1/2 - 0.1)R1/2 =,,,,,0.169,,y = 2.5n1/2 - 0.13 - 0.75(n1/2 - 0.1)R1/2 =,,,,,0.170,,,,,,,,,,,,0.020,0.002,0.458,25.000,,,2.95820852,62.01650682,1.368293664
,,C = Ry/n =,,,,62.55,,,C = Ry/n =,,,,61.48,,,Cu?i,2.15,12.29,9.48,1.30,3.52,0.60,2.752,0.170,61.48,,,,,25.00 ,,,,
,,V? = Q/w =,,,,2.40,m/s,,Vc = Q/w =,,,,3.52,m/s,,,,,,,,,,,,,,,,,,,,
,,E? = hcn + aV?2/2g =,,,,2.29,m,,Ec = hcth + aVc2/2g =,,,,2.78,m,,,,,,,,,,,,,,,,,,,,
,,Tính th? d?n v?i các giá tr? hcth cho ??n khi DL = Lth thì ?ó là giá tr? c?n tìm:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lth =,,25.00,m,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DL = ,,25.00,m,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,K?t qu? tính toán t?i cu?i ?o?n thu h?p ta có hcth =,,,,,,,2.15,m,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,III tính toán ???ng m?t n??c trên d?c n??c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1) Tài li?u tính toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?o?n 2 ( ?o?n d?c ??u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- L?u l??ng x? l?n nh?t:,,,,Qmax =,43.22,m3/s,- C?t n??c ??u d?c:,,,,h =,2.15,m,,,,,,,,,,,,,,,,,,,,
,- ?? d?c c?a d?c n??c:,,,,i =,0.020,,- Chi?u r?ng ??u d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
,- H? s? nhám:,,,,n =,0.017,,- Chi?u r?ng cu?i d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
,- H? s? mái,,,,m=,1.5,,- Chi?u dài d?c n??c:,,,,L =,182.2,m,,,,,,,,,,,,,,,,,,,,
, - Eo ban ??u,,,,E=,2.78,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?o?n 3 ( ?o?n d?c ??u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- L?u l??ng x? l?n nh?t:,,,,Qmax =,43.22,m3/s,- C?t n??c ??u d?c:,,,,h =,1.32,m,,,,,,,,,,,,,,,,,,,,
,- ?? d?c c?a d?c n??c:,,,,i =,0.106,,- Chi?u r?ng ??u d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
,- H? s? nhám:,,,,n =,0.017,,- Chi?u r?ng cu?i d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
,- H? s? mái,,,,m=,1.5,,- Chi?u dài d?c n??c:,,,,L =,53.6,m,,,,,,,,,,,,,,,,,,,,
, - Eo ban ??u,,,,E=,4.03,m,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?o?n 4 ( ?o?n d?c ??u),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,- L?u l??ng x? l?n nh?t:,,,,Qmax =,43.22,m3/s,- C?t n??c ??u d?c:,,,,h =,0.97,m,,,,,,,,,,,,,,,,,,,,
,- ?? d?c c?a d?c n??c:,,,,i =,0.090,,- Chi?u r?ng ??u d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
,- H? s? nhám:,,,,n =,0.017,,- Chi?u r?ng cu?i d?c n??c:,,,,B =,2.50,m,,,,,,,,,,,,,,,,,,,,
